id,Edad,Ingresos,Hijos,Altura,Género,Ciudad,Nivel_Educación
0,34.0,2000.0,1.0,1.65,m,Barcelona,Bacherlors
1,,5000.0,0.0,1.75,nan,Barcelona,Bacherlors
2,45.0,3500.0,0.0,1.75,f,Madrid,Bacherlors
3,34.0,3500.0,-1.0,1.75,nan,Valencia,Bacherlors
4,25.0,,1.0,1.8,f,Barcelona,Bacherlors
5,25.0,2000.0,0.0,,nan,Madrid,master
6,25.0,3500.0,0.0,1.75,f,nan,Bacherlors
7,120.0,5000.0,1.0,1.65,m,Valencia,master
8,45.0,2000.0,0.0,1.8,nan,nan,master
9,45.0,2000.0,0.0,1.65,m,Valencia,pHd
10,25.0,2000.0,1.0,1.75,f,Barcelona,Bacherlors
11,,2000.0,1.0,1.65,nan,Barcelona,pHd
12,-5.0,,1.0,1.65,nan,nan,pHd
13,25.0,-1000.0,0.0,,f,Valencia,Bacherlors
14,25.0,5000.0,2.0,1.8,Masculino,Madrid,no education
15,25.0,95000.0,0.0,1.75,f,Madrid,nan
16,34.0,-1000.0,0.0,1.75,m,Madrid,Bacherlors
17,34.0,2000.0,2.0,1.65,f,Valencia,Bacherlors
18,34.0,95000.0,1.0,1.65,Masculino,nan,no education
19,25.0,3500.0,-1.0,1.65,Femenino,Madrid,pHd
20,45.0,-1000.0,1.0,1.75,Femenino,Barcelona,Bacherlors
21,25.0,95000.0,1.0,1.8,Femenino,Madrid,Bacherlors
22,25.0,3500.0,0.0,1.75,m,nan,master
23,34.0,2000.0,0.0,1.65,f,Valencia,master
24,34.0,2000.0,0.0,,m,Valencia,pHd
25,45.0,3500.0,0.0,1.8,f,Barcelona,master
26,25.0,-1000.0,,1.75,f,Barcelona,master
27,34.0,95000.0,0.0,1.75,nan,Madrid,pHd
28,34.0,2000.0,-1.0,1.75,f,Madrid,Bacherlors
29,25.0,3500.0,1.0,1.65,m,Valencia,Bacherlors
30,45.0,3500.0,2.0,1.65,m,Valencia,pHd
31,25.0,2000.0,1.0,1.8,Femenino,nan,no education
32,25.0,2000.0,1.0,1.65,Masculino,nan,master
33,,3500.0,1.0,1.65,m,Barcelona,master
34,,,0.0,1.65,m,Valencia,Bacherlors
35,-5.0,3500.0,2.0,1.65,Femenino,nan,master
36,34.0,3500.0,0.0,1.8,m,Valencia,master
37,25.0,5000.0,0.0,1.8,nan,Madrid,Bacherlors
38,45.0,3500.0,1.0,1.75,Femenino,Barcelona,Bacherlors
39,34.0,,0.0,1.65,m,Madrid,master
40,25.0,,,1.75,m,nan,Bacherlors
41,34.0,2000.0,,1.75,nan,Barcelona,master
42,25.0,3500.0,,1.65,f,Madrid,Bacherlors
43,,3500.0,0.0,1.75,f,Barcelona,master
44,25.0,2000.0,0.0,1.65,nan,Barcelona,Bacherlors
45,45.0,2000.0,,1.75,nan,Madrid,no education
46,34.0,5000.0,1.0,1.75,nan,Madrid,master
47,34.0,3500.0,,1.65,Femenino,Barcelona,pHd
48,34.0,2000.0,,1.65,f,Barcelona,pHd
49,25.0,2000.0,-1.0,1.75,m,Valencia,master
50,,,0.0,1.75,Femenino,Barcelona,Bacherlors
51,45.0,2000.0,0.0,1.8,f,Valencia,master
52,,2000.0,-1.0,1.75,f,Barcelona,master
53,120.0,3500.0,0.0,1.65,nan,Barcelona,pHd
54,34.0,,0.0,1.65,m,Valencia,master
55,,2000.0,1.0,1.75,f,Barcelona,Bacherlors
56,25.0,5000.0,,1.65,m,Madrid,Bacherlors
57,25.0,5000.0,1.0,1.75,f,Madrid,master
58,25.0,2000.0,1.0,3.5,m,Valencia,pHd
59,34.0,5000.0,0.0,1.75,m,Barcelona,master
60,34.0,3500.0,1.0,1.65,m,Valencia,master
61,25.0,5000.0,,1.75,Masculino,Madrid,nan
62,-5.0,5000.0,0.0,1.75,Femenino,Madrid,pHd
63,34.0,3500.0,1.0,1.75,f,Madrid,Bacherlors
64,25.0,2000.0,-1.0,3.5,nan,Madrid,Bacherlors
65,34.0,-1000.0,2.0,1.65,f,Barcelona,Bacherlors
66,25.0,3500.0,1.0,,m,Madrid,Bacherlors
67,-5.0,2000.0,2.0,3.5,nan,Barcelona,Bacherlors
68,25.0,2000.0,0.0,1.65,m,nan,Bacherlors
69,,3500.0,0.0,1.65,nan,Madrid,Bacherlors
70,45.0,5000.0,-1.0,1.65,m,Barcelona,Bacherlors
71,25.0,2000.0,-1.0,1.65,nan,Valencia,no education
72,25.0,3500.0,-1.0,1.65,m,Madrid,Bacherlors
73,-5.0,2000.0,,1.75,nan,Barcelona,master
74,45.0,5000.0,1.0,1.65,f,Valencia,master
75,45.0,2000.0,1.0,1.65,nan,nan,nan
76,45.0,5000.0,2.0,1.8,m,Madrid,Bacherlors
77,25.0,3500.0,1.0,1.65,f,nan,master
78,34.0,,2.0,1.8,nan,Barcelona,nan
79,25.0,2000.0,2.0,1.65,f,Madrid,no education
80,120.0,3500.0,-1.0,1.65,Masculino,Barcelona,no education
81,45.0,2000.0,0.0,1.75,Masculino,nan,Bacherlors
82,34.0,,0.0,1.75,f,Barcelona,Bacherlors
83,25.0,95000.0,0.0,1.8,Masculino,Madrid,pHd
84,34.0,2000.0,1.0,1.8,f,Barcelona,nan
85,34.0,5000.0,0.0,1.8,nan,Madrid,master
86,45.0,-1000.0,1.0,1.65,m,Madrid,master
87,45.0,3500.0,1.0,1.65,m,Madrid,Bacherlors
88,120.0,3500.0,0.0,1.8,nan,Madrid,pHd
